Date,Open,High,Low,Close,Volume,Adj Close,EMA5,EMA10,EMA20,EMA60,EMA120
7/25/05,302.39,303.29,294.96,295.85,9658800,295.85,306.818,302.635,299.146,272.831,231.9350833
7/22/05,306.37,309.25,296.33,302.4,23386800,302.4,307.556,302.385,299.216,271.5576667,231.0688333
7/21/05,314.05,317.8,311.21,313.94,19789400,313.94,307.314,301.768,298.5815,270.1806667,230.179
7/20/05,305.57,312.61,301.8,312,14310400,312,304.704,299.928,297.3495,268.5941667,229.149
7/19/05,302.1,310.35,301.8,309.9,12621400,309.9,302.076,297.88,296.1415,267.1196667,228.1163333
7/18/05,300,301.9,297.75,299.54,6207800,299.54,298.452,296.461,294.9815,265.5515,227.1108333
7/15/05,301.24,303.4,299.78,301.19,8438400,301.19,297.214,295.632,294.0195,263.9628333,226.0906667
7/14/05,305.34,306.75,300.07,300.89,10667700,300.89,296.222,294.928,292.832,262.2446667,225.08675
7/13/05,292.51,299.24,292.1,298.86,11437900,298.86,295.152,294.111,291.5275,260.4198333,224.1483333
7/12/05,293.39,294.4,290.93,291.78,5864900,291.78,293.684,294.425,290.502,258.555,223.2738333
7/11/05,296.4,296.6,291.02,293.35,8390300,293.35,294.47,295.657,290.0505,256.7753333,222.4865
7/8/05,296.25,297.5,294.05,296.23,7457600,296.23,294.05,296.047,289.508,255.077,221.7410833
7/7/05,289.39,295.8,288.51,295.54,10672100,295.54,293.634,295.395,289.012,253.3553333,220.9389167
7/6/05,297.3,297.6,291.38,291.52,8000300,291.52,293.07,294.771,288.213,251.6623333,220.1038333
7/5/05,292.1,295.98,290.23,295.71,7494000,295.71,295.166,294.403,288.293,250.0241667,219.3026667
7/1/05,295.04,296.24,289.22,291.25,9227600,291.25,296.844,293.502,288.0545,248.2965,218.45125
6/30/05,294.34,298.93,291.04,294.15,15094400,294.15,298.044,292.407,287.505,246.6716667,217.6496667
6/29/05,302.5,304.38,292.15,292.72,18298700,292.72,297.156,290.736,287.1925,244.9228333,216.8138333
6/28/05,306.28,309.25,302,302,19036500,302,296.472,288.944,286.9565,243.187,215.94575
6/27/05,298.9,304.47,293.86,304.1,17802900,304.1,293.64,286.579,285.72,241.2418333,215.0416667
6/24/05,290.9,298,289.58,297.25,17771200,297.25,290.16,284.444,283.815,239.1741667,214.1283333
6/23/05,288,294.81,286.5,289.71,14056400,289.71,286.77,282.969,281.9125,237.2285,213.3405
6/22/05,289.67,292.32,288.67,289.3,10474000,289.3,284.316,282.629,280.4675,235.4075,212.5328333
6/21/05,288.07,290.3,284.97,287.84,15132300,287.84,281.416,281.655,278.8025,233.5786667,211.7686667
6/20/05,276.09,287.67,271.73,286.7,21024700,286.7,279.518,282.183,277.183,231.805,210.9775
6/17/05,279,280.3,275.9,280.3,10434400,280.3,278.728,282.607,274.9285,230.0141667,210.1946667
6/16/05,274.26,278.3,273.07,277.44,12462400,277.44,279.168,282.603,272.8725,228.3255,209.4580833
6/15/05,275,277.3,267.43,274.8,20883100,274.8,280.942,283.649,270.9585,226.6781667,208.7119167
6/14/05,278.59,281.24,277.75,278.35,10091900,278.35,281.894,284.969,268.875,225.1128333,207.9744167
6/13/05,279.82,284.19,276.52,282.75,12803200,282.75,284.848,284.861,266.51,223.4743333,207.1860833
6/10/05,286.99,287.28,280.02,282.5,12696600,282.5,286.486,283.186,263.8345,221.75,206.3716667
6/9/05,284.72,288.5,280.56,286.31,16441100,286.31,286.038,280.856,261.1455,219.9683333,205.5181667
6/8/05,292.85,293.19,278,279.56,25700900,279.56,286.356,278.306,258.3945,218.1733333,204.6028333
6/7/05,297.1,299.59,290.3,293.12,24323000,293.12,288.044,275.95,255.8065,216.4305,203.7713333
6/6/05,282.39,293.75,281.83,290.94,22525900,290.94,284.874,272.183,252.4515,214.5085,202.81775
6/3/05,286.79,289.3,277.41,280.26,18782300,280.26,279.886,267.25,249.3055,212.6591667,201.8136667
6/2/05,288.73,289.78,284.6,287.9,17974100,287.9,275.674,263.142,246.6415,211.0106667,200.9085833
6/1/05,283.2,292.89,282.02,288,35191700,288,270.256,258.268,243.6715,209.299,199.9546667
5/31/05,269.43,278.4,269.37,277.27,22236800,277.27,263.856,252.781,240.581,207.6458333,198.9711667
5/27/05,260.46,266.05,259.25,266,12184100,266,259.492,248.159,237.832,206.123,198.0891667
5/26/05,260.96,263.76,258.3,259.2,13546600,259.2,254.614,244.483,235.532,204.8065,197.3415833
5/25/05,252.73,260.98,250.63,260.81,18057900,260.81,250.61,241.435,233.5445,203.5728333,196.6849167
5/24/05,256.96,265.44,253.5,256,29043100,256,246.28,238.483,231.493,202.327,196.0065
5/23/05,243.16,258.1,242.71,255.45,21388300,255.45,241.706,235.663,229.6305,201.1935,195.3728333
5/20/05,241.21,241.67,239.65,241.61,8163500,241.61,236.826,232.72,228.0345,200.0338333,194.7605833
5/19/05,240.34,241.17,238.27,239.18,9716500,239.18,234.352,231.361,226.7445,199.1551667,194.2559167
5/18/05,233.61,239.97,233.52,239.16,12312000,239.16,232.26,230.141,224.9965,198.4013333,193.7576667
5/17/05,230.56,233.45,230.2,233.13,7808900,233.13,230.686,229.075,222.9435,197.6048333,193.221
5/16/05,229.68,231.62,228.57,231.05,5681400,231.05,229.62,228.381,220.857,197.0185,192.67425
5/13/05,229.18,231.09,227.32,229.24,7415500,229.24,228.614,227.505,218.653,196.466,192.1246667
5/12/05,230.81,232.23,228.2,228.72,8948200,228.72,228.37,226.581,216.441,195.9521667,191.626
