Date,Open,High,Low,Close,Volume,Adj Close
20060804,379.56,380.68,371.75,373.85,5095200,373.85
20060803,364.98,377.91,363.36,375.39,6327000,375.39
20060802,375.6,377.17,365.2,367.23,7097800,367.23
20060801,385.11,385.77,375.51,375.51,5463200,375.51
20060731,388,389.17,383.31,386.6,4595300,386.6
20060728,382,389.56,381.73,388.12,4083600,388.12
20060727,387.37,387.49,377.95,382.4,5641100,382.4
20060726,388.2,391.91,383,385.5,5531900,385.5
20060725,385.02,391.31,383.8,389.36,5761100,389.36
20060724,392.82,393.89,381.21,390.9,8086100,390.9
20060721,386.14,391.75,377.69,390.11,11754600,390.11
20060720,404.28,404.44,385.66,387.12,12538700,387.12
20060719,395.01,401.14,394.66,399,8518500,399
20060718,409.75,410.57,397.74,403.05,8536800,403.05
20060717,404.63,411,403.72,407.89,5811900,407.89
20060714,410.33,411.49,398.61,403.5,7552100,403.5
